# Title: December 2023 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-57.5,222.5,0.17,120
-57.5,227.5,0.1,108
-57.5,232.5,0.03,108
-57.5,237.5,-0.1,94
-57.5,242.5,-0.32,67
-57.5,247.5,-0.45,60
-57.5,252.5,-0.51,44
-57.5,257.5,-0.55,34
-57.5,262.5,-0.61,25
-57.5,267.5,-0.65,24
-57.5,272.5,-0.67,22
-57.5,277.5,-0.62,23
-57.5,282.5,-0.56,27
-57.5,287.5,-0.55,23
-57.5,292.5,-0.49,29
-57.5,297.5,-0.23,62
-57.5,302.5,-0.09,89
-57.5,307.5,0.06,117
-57.5,312.5,0.21,143
-57.5,317.5,0.38,161
-57.5,322.5,0.54,165
-57.5,327.5,0.66,171
-57.5,332.5,0.75,172
-57.5,337.5,0.74,172
-57.5,342.5,0.75,172
-57.5,347.5,0.74,173
-57.5,352.5,0.68,171
-57.5,357.5,0.56,171
-52.5,2.5,0.77,173
-52.5,7.5,0.75,173
-52.5,12.5,0.72,174
-52.5,17.5,0.63,174
-52.5,22.5,0.61,173
-52.5,27.5,0.69,172
-52.5,32.5,0.65,172
-52.5,37.5,0.63,171
-52.5,42.5,0.51,171
-52.5,47.5,0.38,167
-52.5,52.5,0.28,162
-52.5,57.5,0.23,162
-52.5,62.5,0.24,165
-52.5,67.5,0.24,162
-52.5,72.5,0.17,158
-52.5,77.5,0.18,160
-52.5,82.5,0.36,172
-52.5,87.5,0.46,173
-52.5,92.5,0.34,170
-52.5,97.5,0.29,171
-52.5,102.5,0.22,165
-52.5,107.5,0.14,150
-52.5,112.5,0.1,134
-52.5,117.5,0.07,130
-52.5,122.5,-0.02,128
-52.5,127.5,-0.07,122
-52.5,132.5,-0.1,110
-52.5,137.5,-0.16,101
-52.5,142.5,-0.2,88
-52.5,147.5,-0.08,109
-52.5,152.5,0.03,119
-52.5,157.5,0.14,137
-52.5,162.5,0.17,132
-52.5,167.5,0.22,138
-52.5,172.5,0.27,141
-52.5,177.5,0.27,138
-52.5,182.5,0.33,136
-52.5,187.5,0.42,145
-52.5,192.5,0.45,148
-52.5,197.5,0.43,147
-52.5,202.5,0.46,145
-52.5,207.5,0.47,144
-52.5,212.5,0.43,138
-52.5,217.5,0.52,147
-52.5,222.5,0.51,153
